congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,bioname,screen_name,bioguide_id,born,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2,economic_simple_pc,social_simple_pc,economic_simple_tr,social_simple_tr,econ_and_social
116,Senate,21133,22,0,IN,200,"YOUNG, Todd",SenToddYoung,Y000064,1972,0.476,-0.03,-63.42345,0.87275,466,31,0.479,-0.468,right,authoritarian,right,right,rightright
116,Senate,41900,22,0,IN,200,"BRAUN, Michael",SenatorBraun,B001310,1954,0.8,0.6,-32.30694,0.93398,473,16,0.827,0.562,right,libertarian,right,right,rightright
116,Senate,14226,31,0,IA,200,"GRASSLEY, Charles Ernest",ChuckGrassley,G000386,1933,0.346,-0.065,-51.21694,0.89758,474,19,0.511,0.113,right,libertarian,right,right,rightright
116,Senate,41502,31,0,IA,200,"ERNST, Joni",joniernst,E000295,1970,0.53,-0.023,-42.43309,0.91332,468,17,0.561,-0.084,right,authoritarian,right,right,rightright
116,Senate,14852,32,0,KS,200,"ROBERTS, Charles Patrick (Pat)",SenPatRoberts,R000307,1936,0.413,-0.091,-18.33671,0.95963,445,2,0.339,0.211,right,authoritarian,right,right,rightright
116,Senate,29722,32,0,KS,200,"MORAN, Jerry",JerryMoran,M000934,1954,0.413,0.2,-74.72748,0.84082,431,26,0.391,-0.356,right,authoritarian,right,right,rightright
116,Senate,14921,51,0,KY,200,"McCONNELL, Addison Mitchell (Mitch)",SenateMajLdr,M000355,1942,0.402,0.004,-43.46731,0.91238,474,12,0.32,0.155,right,authoritarian,right,right,rightright
116,Senate,41104,51,0,KY,200,"PAUL, Rand",RandPaul,P000603,1963,0.878,-0.479,-122.38309,0.7533,432,64,0.885,-0.466,right,libertarian,right,right,rightright
116,Senate,20919,45,0,LA,200,"CASSIDY, Bill",BillCassidy,C001075,1957,0.454,-0.107,-34.45969,0.92417,437,17,0.502,-0.15,right,authoritarian,right,right,rightright
116,Senate,41703,45,0,LA,200,"KENNEDY, John Neely",SenJohnKennedy,K000393,1951,0.562,0.269,-45.27329,0.90665,462,22,0.643,-0.03,right,authoritarian,right,right,rightright
116,Senate,41300,2,0,ME,328,"KING, Angus Stanley, Jr.",SenAngusKing,K000383,1944,-0.154,-0.226,-52.75366,0.89468,474,20,-0.162,-0.21,right,authoritarian,right,left,rightleft
116,Senate,49703,2,0,ME,200,"COLLINS, Susan Margaret",SenatorCollins,C001035,1952,0.112,-0.542,-41.04286,0.91705,474,10,0.129,-0.419,right,libertarian,right,left,rightleft
116,Senate,15408,52,0,MD,100,"CARDIN, Benjamin Louis",SenatorCardin,C000141,1943,-0.321,-0.232,-76.32886,0.84981,469,30,-0.276,-0.075,left,authoritarian,left,right,leftright
116,Senate,20330,52,0,MD,100,"VAN HOLLEN, Christopher",ChrisVanHollen,V000128,1959,-0.389,-0.19,-73.14251,0.85673,473,27,-0.369,-0.293,left,authoritarian,left,left,leftleft
116,Senate,14435,3,0,MA,100,"MARKEY, Edward John",SenMarkey,M000133,1946,-0.511,-0.45,-56.51375,0.88099,446,17,-0.611,-0.769,left,libertarian,left,left,leftleft
116,Senate,41301,3,0,MA,100,"WARREN, Elizabeth",SenWarren,W000817,1949,-0.767,-0.27,-10.64836,0.95588,236,4,-0.797,-0.33,left,authoritarian,left,left,leftleft
116,Senate,20923,23,0,MI,100,"PETERS, Gary C.",SenGaryPeters,P000595,1958,-0.245,-0.2,-86.22988,0.83367,474,42,-0.303,-0.073,left,authoritarian,left,left,leftleft
116,Senate,29732,23,0,MI,100,"STABENOW, Deborah Ann",SenStabenow,S000770,1950,-0.341,-0.007,-98.6568,0.80846,464,50,-0.388,-0.168,left,authoritarian,left,left,leftleft
116,Senate,40700,33,0,MN,100,"KLOBUCHAR, Amy",amyklobuchar,K000367,1960,-0.277,-0.329,-118.63621,0.67514,302,61,-0.483,-0.506,left,authoritarian,left,left,leftleft
116,Senate,41706,33,0,MN,100,"SMITH, Tina",SenTinaSmith,S001203,1958,-0.393,-0.086,-60.06022,0.88099,474,24,-0.412,-0.071,left,authoritarian,left,left,leftleft
116,Senate,29534,46,0,MS,200,"WICKER, Roger F.",SenatorWiker,W000437,1951,0.376,0.352,-22.93573,0.95267,473,7,0.374,0.2,right,libertarian,right,right,rightright
116,Senate,41707,46,0,MS,200,"HYDE-SMITH, Cindy",SenHydeSmith,H001079,1959,0.366,0.277,-14.12414,0.97021,467,4,0.349,0.318,right,authoritarian,right,right,rightright
116,Senate,29735,34,0,MO,200,"BLUNT, Roy",RoyBlunt,B000575,1950,0.427,0.281,-24.10318,0.95001,470,9,0.35,0.174,right,authoritarian,right,right,rightright
116,Senate,41901,34,0,MO,200,"HAWLEY, Joshua David",SenHawleyPress,H001089,1979,0.565,-0.315,-42.58643,0.9139,473,22,0.565,-0.316,left,authoritarian,left,right,leftright
116,Senate,21338,64,0,MT,200,"DAINES, Steve",SteveDaines,D000618,1962,0.556,-0.102,-44.4068,0.90929,467,27,0.606,-0.139,right,authoritarian,right,right,rightright
