congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,bioname,screen_name,bioguide_id,born,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2,economic_simple_tr,social_simple_tr,econ_and_social,,21
116,Senate,21112,62,0,CO,200,"GARDNER, Cory",SenCoryGardner,G000562,1974,0.445,-0.021,-33.97153,0.9294,464,15,0.344,0.022,right,right,rightright,FALSE,
116,Senate,40910,62,0,CO,100,"BENNET, Michael F.",SenBennetCO,B001267,1964,-0.22,-0.157,-81.68542,0.79649,359,39,-0.283,-0.166,left,left,leftleft,FALSE,
116,Senate,20707,1,0,CT,100,"MURPHY, Christopher",ChrisMurphyCT,M001169,1973,-0.275,-0.195,-110.76147,0.79044,471,48,-0.163,-0.316,left,left,leftleft,FALSE,
116,Senate,41101,1,0,CT,100,"BLUMENTHAL, Richard",SenBlumenthal,B001277,1946,-0.43,-0.081,-67.00539,0.86739,471,31,-0.45,-0.014,left,left,leftleft,FALSE,
116,Senate,15015,11,0,DE,100,"CARPER, Thomas Richard",SenatorCarper,C000174,1947,-0.175,-0.229,-86.81493,0.83167,471,26,-0.186,-0.314,left,left,leftleft,FALSE,
116,Senate,40916,11,0,DE,100,"COONS, Christopher A.",ChrisCoons,C001088,1963,-0.225,-0.225,-52.91714,0.89133,460,17,-0.192,-0.269,left,left,leftleft,FALSE,
116,Senate,41102,43,0,FL,200,"RUBIO, Marco",marcorubio,R000595,1971,0.572,-0.269,-39.59251,0.91684,456,16,0.54,-0.097,right,right,rightright,FALSE,
116,Senate,41903,43,0,FL,200,"SCOTT, Richard Lynn (Rick)",FLGovScott,S001217,1952,0.512,0.099,-37.65789,0.9214,460,22,0.513,0.098,right,right,rightright,FALSE,
116,Senate,29909,44,0,GA,200,"ISAKSON, Johnny",SenatorIsakson,I000055,1944,0.402,-0.011,-10.54373,0.96184,271,2,0.336,0.153,right,left,rightleft,TRUE,
116,Senate,41501,44,0,GA,200,"PERDUE, David Alfred, Jr.",Perduesenate,P000612,1949,0.57,-0.074,-31.00502,0.93136,436,17,0.48,0.256,right,right,rightright,FALSE,
116,Senate,41904,44,0,GA,200,"LOEFFLER, Kelly",SenatorLoeffler,L000594,1970,0.539,0.273,-5.25595,0.93935,84,3,0.54,0.269,right,right,rightright,FALSE,
116,Senate,20713,82,0,HI,100,"HIRONO, Mazie",maziehirono,H001042,1947,-0.509,-0.095,-61.12568,0.87481,457,30,-0.566,-0.062,left,left,leftleft,FALSE,
116,Senate,41112,82,0,HI,100,"SCHATZ, Brian Emanuel",brianschatz,S001194,1972,-0.445,-0.075,-71.73744,0.85732,466,28,-0.473,-0.057,left,left,leftleft,FALSE,
116,Senate,29345,63,0,ID,200,"CRAPO, Michael Dean",MikeCrapo,C000880,1951,0.51,0.291,-26.25544,0.94567,470,12,0.492,0.632,right,right,rightright,FALSE,
116,Senate,40902,63,0,ID,200,"RISCH, James",SenatorRisch,R000584,1943,0.631,0.564,-20.33505,0.9573,466,12,0.591,0.603,right,right,rightright,FALSE,
116,Senate,15021,21,0,IL,100,"DURBIN, Richard Joseph",SenatorDurbin,D000563,1944,-0.352,-0.329,-91.76167,0.82126,466,51,-0.296,-0.094,left,left,leftleft,FALSE,
116,Senate,21325,21,0,IL,100,"DUCKWORTH, Tammy",SenDuckworth,D000622,1968,-0.333,0.108,-72.1791,0.85301,454,30,-0.371,0.209,left,left,leftleft,FALSE,
116,Senate,21133,22,0,IN,200,"YOUNG, Todd",SenToddYoung,Y000064,1972,0.476,-0.03,-63.42345,0.87275,466,31,0.479,-0.468,right,right,rightright,FALSE,
116,Senate,41900,22,0,IN,200,"BRAUN, Michael",SenatorBraun,B001310,1954,0.8,0.6,-32.30694,0.93398,473,16,0.827,0.562,right,right,rightright,FALSE,
